type,names,scores,policy_type
univariate,Make,0.246935836768165,All Perils
univariate,VehiclePrice_num,0.1860937015327562,All Perils
univariate,VehicleCategory,0.015245041807887431,All Perils
univariate,AgeOfVehicle,0.12302967646689071,All Perils
univariate,Sex,0.13678634877114768,All Perils
univariate,MaritalStatus,0.06523336998905707,All Perils
univariate,Age,0.30010279390138356,All Perils
univariate,DriverRating,0.1868306965963707,All Perils
univariate,AgeOfPolicyHolder,0.10669679017779493,All Perils
univariate,NumberOfCars,0.06295596920528751,All Perils
univariate,PastNumberOfClaims,0.05704059389017214,All Perils
univariate,PolicyType,0.01522537505356016,All Perils
univariate,Deductible,0.04448168333243703,All Perils
univariate,AgentType,0.0,All Perils
univariate,NumberOfSuppliments,0.232164006499886,All Perils
univariate,Days_Policy_Accident,0.0025273555683022145,All Perils
univariate,Days_Policy_Claim,0.003435226957835729,All Perils
univariate,PoliceReportFiled,0.10111116972081204,All Perils
univariate,WitnessPresent,0.012583107512092318,All Perils
univariate,AddressChange_Claim_2,0.005221203418284521,All Perils
univariate,Make,0.11172077036616886,Collision
univariate,VehiclePrice_num,0.12478442397623737,Collision
univariate,VehicleCategory,0.03453906492349266,Collision
univariate,AgeOfVehicle,0.11170455760902387,Collision
univariate,Sex,0.19279636820043872,Collision
univariate,MaritalStatus,0.1644431212520541,Collision
univariate,Age,0.2381798446620017,Collision
univariate,DriverRating,0.2324439031478401,Collision
univariate,AgeOfPolicyHolder,0.06730932657477584,Collision
univariate,NumberOfCars,0.08824483316895662,Collision
univariate,PastNumberOfClaims,0.13872155537331993,Collision
univariate,PolicyType,0.04493537014609768,Collision
univariate,Deductible,0.05256069389797992,Collision
univariate,AgentType,0.048666396056246924,Collision
univariate,NumberOfSuppliments,0.2676819393486814,Collision
univariate,Days_Policy_Accident,0.030412962822683846,Collision
univariate,Days_Policy_Claim,0.004271564083364466,Collision
univariate,PoliceReportFiled,0.09836614428856091,Collision
univariate,WitnessPresent,0.016043649613947653,Collision
univariate,AddressChange_Claim_2,0.010187126556559975,Collision
